Paul Henriot,Queso Cabrales,7/4/1996 12:00:00 AM,14.0000,12,0
Paul Henriot,Singaporean Hokkien Fried Mee,7/4/1996 12:00:00 AM,9.8000,10,0
Paul Henriot,Mozzarella di Giovanni,7/4/1996 12:00:00 AM,34.8000,5,0
Karin Josephs,Tofu,7/5/1996 12:00:00 AM,18.6000,9,0
Karin Josephs,Manjimup Dried Apples,7/5/1996 12:00:00 AM,42.4000,40,0
Mario Pontes,Jack's New England Clam Chowder,7/8/1996 12:00:00 AM,7.7000,10,0
Mario Pontes,Manjimup Dried Apples,7/8/1996 12:00:00 AM,42.4000,35,0.15
Mario Pontes,Louisiana Fiery Hot Pepper Sauce,7/8/1996 12:00:00 AM,16.8000,15,0.15
Mary Saveley,Gustaf's Knäckebröd,7/8/1996 12:00:00 AM,16.8000,6,0.05
Mary Saveley,Ravioli Angelo,7/8/1996 12:00:00 AM,15.6000,15,0.05
Mary Saveley,Louisiana Fiery Hot Pepper Sauce,7/8/1996 12:00:00 AM,16.8000,20,0
Pascale Cartrain,Sir Rodney's Marmalade,7/9/1996 12:00:00 AM,64.8000,40,0.05
Pascale Cartrain,Geitost,7/9/1996 12:00:00 AM,2.0000,25,0.05
Pascale Cartrain,Camembert Pierrot,7/9/1996 12:00:00 AM,27.2000,40,0
Mario Pontes,Gorgonzola Telino,7/10/1996 12:00:00 AM,10.0000,20,0
Mario Pontes,Chartreuse verte,7/10/1996 12:00:00 AM,14.4000,42,0
Mario Pontes,Maxilaku,7/10/1996 12:00:00 AM,16.0000,40,0
Yang Wang,Guaraná Fantástica,7/11/1996 12:00:00 AM,3.6000,15,0.15
Yang Wang,Pâté chinois,7/11/1996 12:00:00 AM,19.2000,21,0.15
Yang Wang,Longlife Tofu,7/11/1996 12:00:00 AM,8.0000,21,0
Michael Holz,Chang,7/12/1996 12:00:00 AM,15.2000,20,0
Michael Holz,Pavlova,7/12/1996 12:00:00 AM,13.9000,35,0
Michael Holz,Inlagd Sill,7/12/1996 12:00:00 AM,15.2000,25,0
Michael Holz,Raclette Courdavault,7/12/1996 12:00:00 AM,44.0000,30,0
Paula Parente,Perth Pasties,7/15/1996 12:00:00 AM,26.2000,15,0
Paula Parente,Original Frankfurter grüne Soße,7/15/1996 12:00:00 AM,10.4000,12,0
Carlos Hernández,Schoggi Schokolade,7/16/1996 12:00:00 AM,35.1000,25,0
Carlos Hernández,Chartreuse verte,7/16/1996 12:00:00 AM,14.4000,6,0
Carlos Hernández,Original Frankfurter grüne Soße,7/16/1996 12:00:00 AM,10.4000,15,0
Roland Mendel,Chang,7/17/1996 12:00:00 AM,15.2000,50,0.2
Roland Mendel,Chef Anton's Gumbo Mix,7/17/1996 12:00:00 AM,17.0000,65,0.2
Roland Mendel,Mascarpone Fabioli,7/17/1996 12:00:00 AM,25.6000,6,0.2
Francisco Chang,Sir Rodney's Scones,7/18/1996 12:00:00 AM,8.0000,10,0
Francisco Chang,Gravad lax,7/18/1996 12:00:00 AM,20.8000,1,0
Henriette Pfalzheim,Jack's New England Clam Chowder,7/19/1996 12:00:00 AM,7.7000,16,0.25
Henriette Pfalzheim,Ravioli Angelo,7/19/1996 12:00:00 AM,15.6000,50,0
Henriette Pfalzheim,Tarte au sucre,7/19/1996 12:00:00 AM,39.4000,15,0.25
Henriette Pfalzheim,Outback Lager,7/19/1996 12:00:00 AM,12.0000,21,0.25
Bernardo Batista,Sir Rodney's Scones,7/19/1996 12:00:00 AM,8.0000,20,0
Bernardo Batista,Steeleye Stout,7/19/1996 12:00:00 AM,14.4000,20,0
Paula Wilson,Chef Anton's Gumbo Mix,7/22/1996 12:00:00 AM,17.0000,12,0.2
Paula Wilson,Uncle Bob's Organic Dried Pears,7/22/1996 12:00:00 AM,24.0000,15,0
Paula Wilson,Gnocchi di nonna Alice,7/22/1996 12:00:00 AM,30.4000,2,0
Roland Mendel,Pavlova,7/23/1996 12:00:00 AM,13.9000,60,0.25
Roland Mendel,Guaraná Fantástica,7/23/1996 12:00:00 AM,3.6000,28,0
Roland Mendel,Nord-Ost Matjeshering,7/23/1996 12:00:00 AM,20.7000,60,0.25
Roland Mendel,Longlife Tofu,7/23/1996 12:00:00 AM,8.0000,36,0.25
Maria Larsson,Chang,7/24/1996 12:00:00 AM,15.2000,35,0
Maria Larsson,Jack's New England Clam Chowder,7/24/1996 12:00:00 AM,7.7000,25,0.15
Frédérique Citeaux,Alice Mutton,7/25/1996 12:00:00 AM,31.2000,30,0
Frédérique Citeaux,Outback Lager,7/25/1996 12:00:00 AM,12.0000,20,0
Pirkko Koskitalo,Queso Manchego La Pastora,7/26/1996 12:00:00 AM,30.4000,12,0.05
Peter Franken,Boston Crab Meat,7/29/1996 12:00:00 AM,14.7000,50,0
Peter Franken,Raclette Courdavault,7/29/1996 12:00:00 AM,44.0000,70,0.15
Peter Franken,Lakkalikööri,7/29/1996 12:00:00 AM,14.4000,15,0.15
Manuel Pereira,Thüringer Rostbratwurst,7/30/1996 12:00:00 AM,99.0000,10,0
Manuel Pereira,Mozzarella di Giovanni,7/30/1996 12:00:00 AM,27.8000,4,0
Karl Jablonski,Geitost,7/31/1996 12:00:00 AM,2.0000,60,0.05
Karl Jablonski,Mozzarella di Giovanni,7/31/1996 12:00:00 AM,27.8000,20,0.05
Pirkko Koskitalo,Inlagd Sill,8/1/1996 12:00:00 AM,15.2000,30,0
Pirkko Koskitalo,Ipoh Coffee,8/1/1996 12:00:00 AM,36.8000,25,0
Art Braunschweiger,Geitost,8/1/1996 12:00:00 AM,2.0000,24,0
Paula Wilson,Sir Rodney's Marmalade,8/2/1996 12:00:00 AM,64.8000,6,0
Paula Wilson,Gorgonzola Telino,8/2/1996 12:00:00 AM,10.0000,40,0
Paula Wilson,Mozzarella di Giovanni,8/2/1996 12:00:00 AM,27.8000,24,0
Horst Kloss,Ikura,8/5/1996 12:00:00 AM,24.8000,24,0.05
Horst Kloss,Gorgonzola Telino,8/5/1996 12:00:00 AM,10.0000,15,0.05
Horst Kloss,Geitost,8/5/1996 12:00:00 AM,2.0000,20,0
Horst Kloss,Boston Crab Meat,8/5/1996 12:00:00 AM,14.7000,60,0.05
Horst Kloss,Lakkalikööri,8/5/1996 12:00:00 AM,14.4000,33,0.05
Paul Henriot,Flotemysost,8/6/1996 12:00:00 AM,17.2000,20,0
Paul Henriot,Mozzarella di Giovanni,8/6/1996 12:00:00 AM,27.8000,7,0
Giovanni Rovelli,Guaraná Fantástica,8/7/1996 12:00:00 AM,3.6000,12,0.05
Giovanni Rovelli,Raclette Courdavault,8/7/1996 12:00:00 AM,44.0000,6,0.05
Miguel Angel Paolino,Ikura,8/8/1996 12:00:00 AM,24.8000,15,0
Miguel Angel Paolino,Konbu,8/8/1996 12:00:00 AM,4.8000,10,0
Alexander Feuer,Rössle Sauerkraut,8/9/1996 12:00:00 AM,36.4000,20,0
Alexander Feuer,Tarte au sucre,8/9/1996 12:00:00 AM,39.4000,12,0
Christina Berglund,Gula Malacca,8/12/1996 12:00:00 AM,15.5000,16,0
